Title,y,"Genre (0: boys, 1: girls)",N,M,<s>,s_{CV},s_{P},<k>,k_{CV},k_{P}/(N-1),\alpha,r,C,\tau_{CV}^{node},\tau_{CV}^{edge},N_{I}/N,O,Character_bipartite_cv,Character_bipartite_cv(ratio_to_Poisson),Page_bipartite_cv,Page_bipartite_cv(ratio_to_Poisson)
Ushio and Tora,1990,0,25,93,113.44,1.473923951,705,7.44,0.68648988,0.958333333,2.195624754,-0.342816411,0.814103048,1.571646078,1.946645584,0.6384,0.055208797,1.647365667,12.15483503,0.47039284,0.74747278
Video Girl Ai,1989,0,13,34,123.8461538,1.340652692,551,5.230769231,0.541528019,1,2.363404116,-0.420684439,0.718620269,1.730115984,1.86438665,0.597633136,0.108704746,1.461754526,13.65240925,0.311101313,0.462090257
We Were There,2002,1,11,30,144.7272727,1.350953822,556,5.454545455,0.484194635,1,2.211085915,-0.554160126,0.848701299,1.641296891,2.119931412,0.809917355,0.134759362,1.521545938,15.59120631,0.298843056,0.441576878
Worst,2001,0,63,329,52.6031746,1.36527902,411,10.44444444,0.77291253,0.564516129,1.428280192,0.19197421,0.689381177,2.37152982,2.182502439,0.366591081,0.015620415,1.564071932,7.429341675,0.590408789,0.922874551
X,1992,1,20,92,85.1,1.043157312,362,9.2,0.425998216,0.894736842,1.809062344,-0.28561039,0.768865032,2.456373111,1.995730255,0.8475,0.054959083,1.125951433,8.185442347,0.43903125,0.6494704
Yona of the Dawn,2009,1,20,81,108.4,1.362710069,570,8.1,0.561558786,0.947368421,1.701055546,-0.385026392,0.80182827,1.917662927,2.382360511,0.7525,0.055575622,1.562385714,12.18761006,0.420740357,0.646778903
Yowamushi Pedal,2008,0,17,63,141.2941176,1.087033386,584,7.411764706,0.585475497,0.875,2.058885877,-0.497268953,0.691253191,2.015542052,1.888120881,0.647058824,0.057487214,1.434238444,12.0148159,0.548492529,0.834809387
Yu-Gi-Oh!,1996,0,27,93,114.8888889,1.650064278,806,6.888888889,0.878403149,0.961538462,1.847711488,-0.537593155,0.794552121,1.936537489,2.244574853,0.585733882,0.057655705,1.763104192,12.65492748,0.47056146,0.765221296
Yukan Club,1981,1,50,263,138.36,2.124901303,994,10.52,1.003694256,0.836734694,1.964560764,-0.547049425,0.851953494,1.623781595,1.330616853,0.5864,0.035278764,2.063401549,12.62082803,0.439104525,0.864718095
YuYu Hakusho,1990,0,44,162,64.59090909,1.996009993,752,7.363636364,1.047165413,0.976744186,1.640558635,-0.408660175,0.83365598,1.804183789,2.195974812,0.61518595,0.033143881,2.116274481,11.93313391,0.376749857,0.613842064
Zatch Bell!,2001,0,37,124,103.8378378,1.986758314,965,6.702702703,0.958677305,0.888888889,1.873376553,-0.379808315,0.761737767,1.280903285,2.119670729,0.485025566,0.053802806,2.085210617,13.66934257,0.316399086,0.557569234
